period,geo4,mc_group,speed_bucket,geom_group,crashes,fatalities,fatal_per_1000,share,share_pct
2015–2017,RURAL_VICTORIA,Non-motorcycle,>=90,Cross intersection,452,37,81.85840707964601,0.051924181504882254,5.192418150488225
2015–2017,RURAL_VICTORIA,Non-motorcycle,>=90,T intersection,577,30,51.99306759098787,0.06628374497415279,6.62837449741528
2015–2017,SMALL_CITIES,Motorcycle-involved,<=60,Not at intersection,5,0,0,0.2631578947368421,26.31578947368421
2015–2017,SMALL_CITIES,Motorcycle-involved,<=60,Cross intersection,10,0,0,0.5263157894736842,52.63157894736842
2015–2017,SMALL_CITIES,Motorcycle-involved,<=60,T intersection,4,0,0,0.21052631578947367,21.052631578947366
2015–2017,SMALL_CITIES,Non-motorcycle,<=60,Not at intersection,800,12,15,0.36917397323488693,36.91739732348869
2015–2017,SMALL_CITIES,Non-motorcycle,<=60,Cross intersection,630,6,9.523809523809524,0.29072450392247345,29.072450392247344
2015–2017,SMALL_CITIES,Non-motorcycle,<=60,T intersection,443,2,4.514672686230249,0.20443008767881865,20.443008767881864
2015–2017,SMALL_CITIES,Non-motorcycle,70–80,Not at intersection,88,2,22.727272727272727,0.04060913705583756,4.060913705583756
2015–2017,SMALL_CITIES,Non-motorcycle,70–80,Cross intersection,72,4,55.55555555555556,0.03322565759113982,3.3225657591139823
2015–2017,SMALL_CITIES,Non-motorcycle,70–80,T intersection,73,0,0,0.03368712505768343,3.368712505768343
2015–2017,SMALL_CITIES,Non-motorcycle,>=90,Not at intersection,57,1,17.54385964912281,0.026303645592985696,2.6303645592985694
2015–2017,SMALL_CITIES,Non-motorcycle,>=90,Cross intersection,1,0,0,4.6146746654360867e-4,0.046146746654360866
2015–2017,SMALL_CITIES,Non-motorcycle,>=90,T intersection,3,0,0,0.0013844023996308261,0.1384402399630826
2015–2017,TOWNS,Motorcycle-involved,<=60,Not at intersection,4,0,0,0.4,40
2015–2017,TOWNS,Motorcycle-involved,<=60,Cross intersection,1,0,0,0.1,10
2015–2017,TOWNS,Motorcycle-involved,<=60,T intersection,2,0,0,0.2,20
2015–2017,TOWNS,Motorcycle-involved,70–80,Not at intersection,1,0,0,0.1,10
2015–2017,TOWNS,Motorcycle-involved,70–80,T intersection,1,1,1000,0.1,10
2015–2017,TOWNS,Motorcycle-involved,>=90,Not at intersection,1,0,0,0.1,10
2015–2017,TOWNS,Non-motorcycle,<=60,Not at intersection,485,6,12.371134020618557,0.3668683812405446,36.68683812405446
2015–2017,TOWNS,Non-motorcycle,<=60,Cross intersection,383,0,0,0.2897125567322239,28.97125567322239
2015–2017,TOWNS,Non-motorcycle,<=60,T intersection,225,0,0,0.170196671709531,17.019667170953102
2015–2017,TOWNS,Non-motorcycle,70–80,Not at intersection,83,5,60.24096385542169,0.06278366111951589,6.278366111951589
2015–2017,TOWNS,Non-motorcycle,70–80,Cross intersection,19,0,0,0.014372163388804841,1.4372163388804842
2015–2017,TOWNS,Non-motorcycle,70–80,T intersection,50,0,0,0.037821482602118005,3.7821482602118004
2015–2017,TOWNS,Non-motorcycle,>=90,Not at intersection,54,4,74.07407407407408,0.04084720121028744,4.084720121028744
